owner,balance
HDxjDfVHvjBbr8o7g92Qtex8fXskBSuo249xeMk47yds,2
3mtaVzkGvyoGH7TEuKjvFwJojHaWpQr2kjqDgVNQ6j5X,2
HZ363zVvJUgrWh4WbNxqzTwXjNYQ7UuZMZPVhVXR4B5Z,2
DShui8BjvrBPFWLzPyXcvdT9XQAKjWtCWhiU1QhnH39N,2
2Q96VngRsxPTcHCp2LADFjAHACd8Ge8qxndTirfLW5eH,2
6rrqQeXdRY5Z52NNUNXMdFRP3kfQJFwmb29Xf22ucyT7,2
AdqKsMi78ytRZmZxBfkWuaf3n4JGR6to8QyjmYaRaHAH,2
9qk1PyA2h61s4MTUcmzNv1tLjskJTgiKT76nrZiNL3RW,2
CCVCWrWKkwrm1rYc7YoBmFKmbeMH1LcjZXTt3sQ3gnBq,2
B7f3pXkmxyxXDxeooppdsZgi852vsSDHPrgi5J7GVs4K,2
9CAh8rGmyappYHxQrDx9U7of7Duu2gZ7VJfr6BXELb5A,2
FtJREfEK9dKPahqXQqqvcqzdadjJpvAG4DuZRESfjzja,2
4GZbFWjEEwvQuUdS1We1U1SEoUPf4sENDmzh4zEjhXHC,2
CDPH6LmrchB7FxcuhnjgBzcooXWiVUjxHYP8bJJ8SEuY,2
3DoWiUjop8jsSg4dK5ovXUoGirjRbfGScEaMnNmaNmgD,2
J2uRSaCKa6imTjmqPg8wSLUiNKakF6R3Rhc7PPXBnVoF,2
7MKuVUz6GngAWbudGcXtYzVV2EiTEcBtR48VZu8eohUv,2
CrwBWmxUhJzF4QWoLwu878JMrDBsy3H9u12538AokXYb,2
3WRwCpnq4B7g8uethx15HzgnE6sFDpZZgbEcKnRZQL3R,2
G7XaMfCG75VSDtqfsf2S4qoFr2GvdbAmh66em6pDx6gE,2
BfRGARfMQKHecwqmKRZfcHEZpobaeP5cYfwMm57t4Psm,2
HRR3mgAFocXWBRPdKdFLh7hDrjz6fuqCtt1URXkNb61r,2
42KJauhJGYGDSkieR9j2Zi7KknUFhiYGfZQXm4wafRxg,2
FNzqGDpKJGocxjwegkCrzCwCarCgW4Prgdz7NqvYxx6v,2
Gz9MsQs515av49eZdnepnKKSYaidomYAHiGWVxFRkzWG,2
58F59ATk6dWyh6TiLx7sZSnj98i5Gzqe4Cau1Sf9mks5,2
